,Ba,EE,Sr,Op,Am,Za,Pl,Ex
OG5_153510,89,2,61,0,31,0,2,0
OG5_139241,0,0,1,0,0,0,1,0
OG5_153512,22,0,17,0,6,2,0,0
OG5_153047,23,2,25,0,37,2,5,0
OG5_153046,2,3,10,0,59,0,0,1
OG5_153045,14,8,10,0,17,0,2,0
OG5_134580,1,0,1,0,0,0,0,0
OG5_134582,1,0,6,0,2,0,1,0
OG5_134584,3,0,0,0,2,0,0,1
OG5_168666,16,0,7,0,6,0,0,0
OG5_130112,0,0,0,0,0,0,1,0
OG5_130113,0,0,0,0,0,0,1,0
OG5_130110,0,0,3,0,0,0,0,0
OG5_130116,0,0,7,0,1,0,0,0
OG5_130117,490,6,124,0,92,7,16,2
OG5_130115,0,0,0,0,0,0,1,0
OG5_137728,2,1,6,0,6,0,0,1
OG5_130119,31,0,8,0,25,31,0,0
OG5_169392,12,1,14,1,7,0,0,0
OG5_136452,116,2,42,0,26,3,0,0
OG5_136455,0,17,37,0,67,0,4,1
OG5_136986,0,0,0,0,0,0,1,0
OG5_136984,95,3,33,0,2,1,4,0
OG5_136988,2,8,25,0,63,1,8,1
OG5_146377,0,1,9,0,37,0,2,1
OG5_162681,13,0,16,0,6,3,2,0
OG5_176377,42,5,25,0,20,5,0,1
OG5_134637,67,9,44,1,41,0,8,1
OG5_176372,0,3,0,0,3,0,0,0
OG5_134634,0,0,0,0,1,0,0,0
OG5_147125,17,2,17,0,3,4,15,0
OG5_134639,5,6,57,1,10,1,10,0
OG5_159638,79,6,43,0,60,0,4,3
OG5_140185,68,2,27,0,11,0,0,1
OG5_129018,0,0,2,0,0,2,0,0
OG5_147126,0,0,0,0,1,0,0,0
OG5_148208,0,0,8,0,3,0,1,0
OG5_137585,0,0,0,0,2,0,0,0
OG5_175544,144,2,18,0,11,2,0,0
OG5_137855,0,1,1,0,1,0,0,0
OG5_137580,0,0,0,0,5,0,0,0
OG5_140180,98,5,27,0,9,0,7,1
OG5_137582,0,0,1,0,1,0,0,0
OG5_137583,0,0,0,0,1,0,0,0
OG5_137858,172,2,43,3,17,7,3,1
OG5_169714,4,0,0,0,1,0,0,0
OG5_136672,0,2,11,0,4,0,1,0
