,ba,ee,sr,op,am,za,pl,ex
OG5_143398,0,4,8,2,5,0,0,16
OG5_137117,0,16,44,63,61,0,1,9
OG5_153510,103,0,0,0,0,0,1,0
OG5_139241,0,0,1,14,1,0,41,0
OG5_153512,32,0,0,0,0,2,0,0
OG5_153047,37,10,23,3,22,2,24,0
OG5_153046,3,1,10,5,18,0,6,1
OG5_153045,18,7,9,7,6,0,0,1
OG5_133299,0,3,35,33,0,0,1,0
OG5_134580,4,0,5,29,7,0,0,1
OG5_134582,2,10,29,0,9,0,0,1
OG5_134584,4,0,10,0,1,0,0,3
OG5_150344,0,8,22,0,1,0,49,0
OG5_168666,25,1,7,0,0,0,0,0
OG5_136396,0,13,12,18,11,0,2,1
OG5_150229,0,0,7,0,0,0,71,0
OG5_143133,91,15,87,0,0,0,43,0
OG5_130112,0,6,16,65,43,0,41,7
OG5_130113,0,14,78,71,61,0,32,4
OG5_130110,0,37,395,51,77,0,138,11
OG5_130116,0,51,309,57,54,0,22,39
OG5_130117,661,6,66,8,63,11,17,4
OG5_130114,0,12,119,44,76,0,12,1
OG5_130115,0,14,104,61,109,0,55,10
OG5_137728,3,10,42,27,55,0,5,1
OG5_130118,0,8,47,43,29,0,7,2
OG5_130119,33,20,107,52,162,40,25,9
OG5_169392,15,0,0,1,0,0,0,0
OG5_136451,0,0,6,40,3,0,1,0
OG5_136982,0,4,12,25,7,0,3,1
OG5_136453,0,36,94,17,40,0,48,1
OG5_136452,220,0,2,16,3,3,1,0
OG5_136455,0,74,208,21,185,0,13,3
OG5_136986,0,27,210,5,111,0,46,2
OG5_142597,62,0,1,0,4,0,26,0
OG5_136984,115,24,209,8,49,1,25,2
OG5_136988,2,146,364,2,460,1,322,10
OG5_146377,0,82,218,108,2015,0,4,46
OG5_128715,218,2,40,42,30,69,50,13
OG5_134631,0,26,120,26,105,0,44,3
OG5_176377,58,32,373,23,111,8,19,46
OG5_134637,79,17,93,34,8,0,4,1
OG5_146372,0,1,140,0,11,0,0,1
OG5_176372,0,5,42,0,3,0,0,0
OG5_134634,0,9,53,26,21,0,14,3
OG5_147125,25,4,19,0,0,5,17,0
OG5_134639,5,21,540,6,8,1,70,2
OG5_159186,71,73,321,0,0,0,67,4
OG5_147124,0,0,6,0,0,0,37,0
OG5_170746,71,0,0,0,0,0,14,0
OG5_140185,83,0,0,0,0,0,1,0
OG5_129018,0,23,227,67,161,2,42,12
OG5_147126,0,6,10,1,30,0,104,7
OG5_148208,0,21,117,2,5,0,4,14
OG5_130717,80,22,134,39,99,19,45,6
OG5_175544,284,2,6,2,4,2,0,0
OG5_137855,0,18,155,4,73,0,106,4
OG5_137580,0,14,25,43,416,0,5,11
OG5_140180,103,53,157,1,4,0,32,1
OG5_137582,0,2,5,24,3,0,0,3
OG5_137583,1,17,97,23,14,0,14,4
OG5_145104,0,0,4,0,1,0,9,11
OG5_141458,0,0,1,0,0,0,2,0
OG5_137858,240,0,11,0,0,8,1,0
OG5_137859,0,29,217,6,13,0,9,1
OG5_136674,0,4,15,19,4,0,1,0
OG5_144663,17,6,54,7,5,0,1,1
OG5_169714,5,0,1,4,0,0,0,0
OG5_136672,0,447,3715,8,210,0,211,5
OG5_136679,120,20,127,3,9,0,23,1
OG5_133008,0,8,18,37,32,0,1,1
OG5_144629,83,2,18,3,5,1,5,0
OG5_144628,0,64,445,23,71,0,132,4
OG5_133005,0,30,38,51,59,0,43,9
OG5_129998,82,4,56,27,44,0,8,25
OG5_133006,0,15,95,29,19,0,27,3
OG5_133001,0,1,16,41,5,0,1,0
OG5_144622,0,0,0,10,1,0,0,0
OG5_133003,0,3,5,34,8,0,0,1
OG5_129999,0,37,259,71,216,0,63,6
OG5_129012,0,6,112,87,12,0,15,0
OG5_142903,0,0,0,3,2,0,0,5
OG5_145976,0,20,104,4,153,0,0,25
OG5_129448,230,33,344,77,288,3,70,28
OG5_130401,0,8,30,51,9,0,27,1
OG5_146951,0,3,34,3,27,0,0,53
OG5_129997,0,17,53,65,78,0,3,3
OG5_139348,0,19,99,24,125,0,58,8
OG5_126771,0,0,26,73,2,0,1,0
OG5_126770,77,54,227,33,54,0,12,227
OG5_126773,262,162,806,124,365,3,143,47
