,ba,ee_ab,ee_bb,am_db,ee_cb,ex_jb,sr_cb,za,ex_mb,sr_db,ex_ob,op_ib,ex_hb,sr_ab,sr_pb,op_mb,ee_ib,sr_sb,am_ab,ex_fb,ee_hb,am_tb,ee_ub,am_vb,am_ib,ex_ib,am_ub,ex_pb,am_mb,op_cb,ex_eb,sr_rb,op_fb,pl_rb,pl_gb
OG5_153510,89,0.2,0,0.1,0,0,0.209756098,0,0,0,0,0,0,0,0,0,0,0.071428571,0.5,0,0,0.161290323,1,0,0,0,0,0,0,0,0,0.171428571,0,0,0.05
OG5_139241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014285714,0,0,0.025
OG5_153512,22,0,0,0.066666667,0,0,0.034146341,2,0,0.025,0,0,0,0,0,0,0,0.023809524,0,0,0,0.019354839,0,0,0,0,0,0,0.0625,0,0,0.1,0,0,0
OG5_153047,23,0,0,0,0.055555556,0,0.034146341,2,0,0.2,0,0,0,0,0,0,0,0.047619048,0,0,0.0625,0.225806452,0,0,0.076923077,0,1,0,0,0,0,0.085714286,0,0,0.125
OG5_153046,2,0.2,0,0,0.111111111,0,0.014634146,0,0,0.1,0,0,0,0,0,0,0,0.011904762,0,0,0,0.374193548,0,0,0.076923077,0,0,0,0,0,0.2,0.028571429,0,0,0
OG5_153045,14,0.6,0,0,0.222222222,0,0.019512195,0,0,0,0,0,0,0,0,0,0,0.011904762,0,0,0.0625,0.103225806,0,0,0,0,1,0,0,0,0,0.071428571,0,0,0.05
OG5_134580,1,0,0,0,0,0,0.004878049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_134582,1,0,0,0,0,0,0.009756098,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0.006451613,0,0,0.076923077,0,0,0,0,0,0,0.028571429,0,0,0.025
OG5_134584,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012903226,0,0,0,0,0,1,0,0,0,0,0,0,0
OG5_168666,16,0,0,0,0,0,0.024390244,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0.038709677,0,0,0,0,0,0,0,0,0,0.014285714,0,0,0
OG5_130112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025
OG5_130113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025
OG5_130110,0,0,0,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG5_130116,0,0,0,0.033333333,0,0,0.004878049,0,0,0.1,0,0,0,0,0,0,0,0.011904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014285714,0,0,0
