OG5_143398,pl_tra,op_gen,ee_tra,ba_tra,op_tra,za_gen,am_gen,ba_gen,sr_tra,ex_gen,ex_tra,sr_gen,pl_gen,ee_gen,za_tra,am_tra
OG5_143398,0,2,4,0,0,0,0,0,7,13,1,0,0,0,0,5
OG5_137117,1,24,14,0,2,0,0,0,30,3,3,6,0,1,0,44
OG5_153510,0,0,0,0,0,0,0,97,0,0,0,0,1,0,0,0
OG5_139241,1,13,0,0,0,0,0,0,1,0,0,0,6,0,0,1
OG5_153512,0,0,0,0,0,2,0,22,0,0,0,0,0,0,0,0
OG5_153047,7,3,7,0,0,2,0,25,20,0,0,2,9,0,0,21
OG5_153046,4,5,1,0,0,0,0,3,9,0,1,0,2,0,0,15
OG5_153045,0,7,4,0,0,0,0,15,3,0,1,0,0,0,0,5
OG5_133299,1,33,3,0,0,0,0,0,27,0,0,6,0,0,0,0
OG5_134580,0,27,0,0,1,0,0,3,4,0,1,0,0,0,0,7
OG5_134582,0,0,7,0,0,0,0,2,16,1,0,0,0,0,0,6
OG5_134584,0,0,0,0,0,0,0,4,5,2,0,1,0,0,0,1
OG5_150344,9,0,8,0,0,0,0,0,13,0,0,0,11,0,0,1
OG5_168666,0,0,1,0,0,0,0,20,5,0,0,2,0,0,0,0
OG5_136396,2,17,9,0,1,0,2,0,12,0,1,0,0,1,0,8
OG5_150229,4,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0
OG5_143133,19,0,15,0,0,0,0,91,78,0,0,8,18,0,0,0
OG5_130112,12,63,4,0,0,0,2,0,14,1,5,0,14,1,0,38
OG5_130113,7,63,12,0,3,0,3,0,60,1,3,13,13,2,0,55
OG5_130110,28,36,25,0,3,0,0,0,90,3,3,6,15,2,0,60
OG5_130116,15,37,35,0,4,0,0,0,193,19,8,30,4,2,0,46
OG5_130117,1,8,5,0,0,9,0,525,33,1,3,3,12,0,0,58
OG5_130114,9,35,11,0,3,0,1,0,91,0,1,7,3,1,0,61
OG5_130115,12,50,13,0,3,0,2,0,80,2,6,8,12,1,0,99
OG5_137728,3,26,8,0,0,0,0,2,24,0,1,4,2,1,0,49
