,ee_bb,am_ib,ba_aq,ba_ar,am_ar,ba_fu,ex_fb,ba_is,am_is,ee_ib,ba_el,ex_ob,ba_ac,ba_ad,am_ab,ex_ox,am_my,am_mb,za_ba,ba_me,op_me,sr_st,ee_ce,ba_di,ba_cy,sr_ap,op_is,ee_cb,ex_ja,ex_jb,za_al,ba_df,ba_de,am_uk,ex_fo,za_as,op_ib,sr_rh,sr_ab,ee_cr,op_mb,am_ub,pl_gl,sr_rb,ba_pl,ee_hb,ex_eb,ee_ha,ba_pg,za_eu,ba_pd,za_ep,ba_pb,ba_pa,ex_eu,ba_ca,za_eh,ba_le,ee_br,za_ea,za_eb,za_ec,ba_cr,ba_cp,ex_is,ba_cv,ee_ub,ba_ts,ba_ge,ee_uk,ex_ma,ex_mb,ex_ib,ba_th,sr_di,ba_ch,ba_cn,ex_pb,ba_te,am_va,za_em,am_vb,ba_cd,sr_db,ba_fe,ba_sp,pl_gb,ex_pa,op_cb,ba_sy,op_ch,ee_ab,za_ey,ba_fn,am_db,sr_ch,sr_ci,ee_is,za_th,sr_cb,ba_fc,za_et,ba_ba,ex_he,ee_ap,ex_hb,pl_gr,ba_bi,ba_ft,ba_fb,am_di,sr_pe,ba_nt,am_tb,za_cr,op_fu,am_th,ba_bc,am_tu,op_nu,pl_rh,sr_pb,sr_sb,sr_ci_s,ba_ni,op_fb,pl_rb,op_ic,
OG5_143398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,
OG5_137117,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,3,0,0,0,1,0,0,0,6,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,2,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,1,0,3,0,0,40,0,0,0,3,9,0,0,0,0,
OG5_153510,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,1,0,0,0,23,0,5,0,17,14,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,0,0,1,0,1,0,0,3,0,0,0,0,42,3,0,0,0,0,0,0,0,1,0,0,0,1,26,0,0,0,0,0,0,0,0,6,0,1,0,0,0,
OG5_139241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,
OG5_153512,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,2,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,1,0,4,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
OG5_153047,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,8,1,1,0,6,0,0,1,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,10,0,0,0,2,0,0,35,0,2,0,0,19,0,5,0,5,0,0,0,0,0,
OG5_153046,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,61,0,1,1,0,11,0,0,0,1,2,0,0,0,0,
OG5_153045,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,5,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,1,1,1,0,0,0,0,0,0,0,0,18,0,1,0,0,4,0,0,0,0,0,0,0,0,0,
OG5_133299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
OG5_134580,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
